Keyword,Frequency,Timeline
Satellites,5,"2010, 2013, 2015, 2018, 2022"
Graphics processing units,5,"2013-2014, 2016, 2021-2022"
stereo,5,"2010, 2015, 2017-2018, 2021"
Strain,5,2018-2022
curriculum learning,5,"2013, 2018-2020, 2022"
Sparse representation,5,"2013, 2015-2017, 2021"
Computed tomography,5,"2011, 2015, 2019, 2021-2022"
edge detection,5,"2011-2012, 2016, 2018-2019"
Heterogeneous face recognition,5,"2013, 2017, 2019-2020, 2022"
Nonhomogeneous media,5,"2010, 2013-2014, 2017, 2021"
computational photography,5,"2012, 2014, 2017, 2020-2021"
Alzheimers disease,5,"2013, 2019-2022"
SIFT,5,"2011-2014, 2018"
Metric learning,5,"2013, 2018, 2020-2022"
Gravity,5,"2017, 2019-2022"
Lips,5,"2010, 2013, 2018-2019, 2021"
structured learning,5,"2010, 2014-2016, 2018"
Interference,5,"2013-2014, 2017, 2021-2022"
graph,5,"2014-2016, 2019, 2021"
Edge detection,5,"2010, 2015, 2019-2020, 2022"
RANSAC,5,"2011-2013, 2018-2019"
structure from motion,5,"2012, 2017-2019, 2021"
3D object recognition,5,"2010, 2012, 2014-2016"
PCA,5,"2010, 2014-2016, 2021"
Knowledge discovery,5,2018-2022
Bayesian inference,5,"2010, 2015-2016, 2019, 2021"
photometry,5,"2010-2011, 2013-2014, 2021"
trackingbydetection,5,"2011, 2013-2014, 2016, 2018"
Periodic structures,5,"2011, 2017, 2019, 2021-2022"
Image processing and computer vision,5,"2010, 2012-2013, 2018, 2021"
Multiobject tracking,5,"2011, 2014, 2016-2018"
crossmodal retrieval,5,"2016, 2019-2022"
Image quality,5,"2011, 2016, 2019-2020, 2022"
intrinsic images,5,"2013, 2015-2018"
sparse coding,5,2013-2017
multiview learning,5,"2014, 2016, 2018-2019, 2021"
Privacy,5,"2014, 2016-2018, 2022"
Mixture models,5,2016-2020
Tin,5,"2011-2012, 2014-2016"
Knowledge engineering,5,"2017-2018, 2020-2022"
AdaBoost,5,"2010-2011, 2013-2014, 2016"
Tools,5,2018-2022
Estimation error,5,"2010-2012, 2016-2017"
Human factors,5,"2011-2014, 2017"
Iterative algorithms,5,"2010-2011, 2019-2021"
Gallium nitride,5,2018-2022
graph theory,5,"2013-2015, 2021-2022"
Meteorology,5,"2016-2017, 2019, 2021-2022"
Gait recognition,5,"2015-2018, 2022"
Image enhancement,5,"2010-2011, 2013, 2015, 2022"
Magnetic resonance imaging,5,"2012-2013, 2017, 2019, 2022"
Error analysis,5,"2010-2013, 2021"
Social network services,5,"2010, 2016-2018, 2020"
Design automation,5,"2011-2014, 2016"
Visual databases,5,"2010-2011, 2015, 2017, 2021"
shape,5,"2010, 2012-2013, 2015, 2022"
rank minimization,5,"2013, 2015-2016, 2018-2019"
Image sensors,5,"2010, 2012, 2014, 2020-2021"
Atmospheric measurements,5,"2013-2014, 2016-2017, 2021"
Energy measurement,5,"2011-2014, 2017"
feature learning,5,"2013, 2015-2018"
Color constancy,5,"2011-2012, 2014-2015, 2020"
statistical models,5,"2011, 2013-2016"
correlation filters,5,"2013, 2015, 2017, 2019-2020"
Engines,5,"2010, 2019-2020, 2022-2023"
Time complexity,5,"2013, 2018-2020, 2022"
Anisotropic magnetoresistance,5,"2010-2013, 2018"
Time series,5,"2010, 2013, 2016, 2019, 2022"
realtime,5,"2011, 2014, 2020-2022"
Canonical correlation analysis,4,"2011, 2013, 2016, 2022"
Cancer,4,"2010, 2017, 2021-2022"
Search methods,4,"2012, 2017, 2020-2021"
Channel estimation,4,"2011, 2013, 2020-2021"
Search engines,4,"2011, 2014-2015, 2021"
Security,4,"2015, 2017, 2019, 2022"
maximum a posteriori,4,"2011, 2014-2015"
Mouth,4,"2010, 2013-2014, 2018"
maximum likelihood,4,"2010, 2012, 2015, 2022"
Routing,4,2019-2022
kernel density estimation,4,"2010-2012, 2014"
Conditional random fields,4,2013-2016
simulated annealing,4,"2013, 2016, 2019, 2021"
stochastic optimization,4,"2013, 2015, 2017, 2022"
motion deblurring,4,2011-2014
Digital images,4,"2010-2011, 2015, 2018"
emotion recognition,4,"2013, 2015-2016, 2021"
Nickel,4,"2012-2014, 2016"
Detection algorithms,4,"2010, 2012, 2014, 2020"
Depth estimation,4,"2014, 2016, 2020, 2022"
Density functional theory,4,"2010, 2012-2013, 2016"
Deformable surfaces,4,"2011-2013, 2016"
Wavelet transforms,4,"2013, 2018-2019, 2022"
distance transform,4,"2011, 2013-2015"
alternating direction method of multipliers,4,"2013, 2016-2018"
adversarial training,4,2019-2022
adversarial learning,4,2019-2022
Deep generative models,4,"2018, 2020-2022"
minimum spanning tree,4,"2015, 2017-2018, 2022"
Network architecture,4,"2018, 2020-2022"
earth movers distance,4,2011-2013
Robot sensing systems,4,"2012, 2015, 2018, 2022"
iris recognition,4,"2010, 2012-2013, 2015"
Nearest neighbor search,4,"2012, 2014-2015, 2020"
dynamic texture,4,"2010, 2012, 2014-2015"
Covariance matrix,4,2010-2013
Navigation,4,"2010-2011, 2015, 2021"
spatiotemporal orientation,4,"2012-2014, 2016"
motion estimation,4,"2010-2011, 2014, 2022"
Remote sensing,4,"2010, 2012, 2017-2018"
maximum likelihood estimation,4,"2011-2012, 2021-2022"
shape analysis,4,"2010, 2012-2013, 2017"
Face and gesture recognition,4,"2010-2011, 2014, 2018"
Clothing,4,"2016, 2020-2022"
face clustering,4,"2013, 2015, 2017-2018"
Clouds,4,"2010, 2013, 2017, 2021"
maxmargin learning,4,"2015, 2017-2019"
face and gesture recognition,4,2011-2014
face alignment,4,"2012, 2019-2021"
dictionary,4,"2012-2014, 2017"
semidefinite programming,4,"2012-2013, 2017, 2019"
Reflection,4,2010-2013
sensor fusion,4,"2012, 2015, 2018, 2022"
Numerical stability,4,"2010, 2014, 2018, 2021"
Nose,4,"2010-2011, 2013, 2017"
expectationmaximization,4,"2015-2017, 2021"
Saliency,4,"2011-2012, 2021-2022"
Visual perception,4,"2010, 2018, 2020-2021"
dimension reduction,4,2011-2014
Electroencephalography,4,"2011, 2013, 2015, 2021"
Compounds,4,"2011-2012, 2015, 2022"
shape representation,4,"2010-2011, 2013, 2015"
event recognition,4,"2011, 2016-2017, 2020"
structured sparsity,4,"2016-2018, 2022"
message passing,4,"2013, 2015, 2021-2022"
EM algorithm,4,"2010, 2012, 2017, 2022"
structure learning,4,"2015, 2017, 2019, 2021"
Diversity reception,4,"2011, 2019, 2021-2022"
Message passing,4,"2010, 2015, 2020, 2022"
Saliency detection,4,"2016-2017, 2019, 2022"
scene parsing,4,"2011, 2013, 2018, 2020"
Distributed computing,4,"2010-2011, 2020-2021"
Crowdsourcing,4,"2016, 2018-2019, 2022"
Photography,4,"2011, 2019-2021"
random forests,4,"2011, 2016-2017, 2019"
Switches,4,"2012, 2016, 2019-2020"
Bayesian estimation,4,"2010-2011, 2014-2015"
MRF,4,"2011, 2014-2015, 2018"
image representation,4,"2010-2011, 2016, 2019"
datadriven,4,"2014-2015, 2020-2021"
pattern matching,4,"2010-2011, 2013-2014"
calibration,4,"2010, 2013, 2017, 2021"
low rank,4,"2015, 2017-2019"
Perturbation methods,4,2019-2022
Orbits,4,"2011-2012, 2014, 2016"
Synchronization,4,"2012-2013, 2016, 2020"
Organizations,4,"2011, 2013, 2015, 2020"
generative adversarial network,4,"2019, 2021-2022"
color,4,"2010-2011, 2013-2014"
image processing and computer vision,4,"2010, 2013, 2018-2019"
Graphs,4,"2010, 2013, 2018, 2021"
data augmentation,4,"2015, 2020-2022"
geometry,4,"2013, 2017, 2019, 2021"
branchandbound,4,"2013, 2016, 2019-2020"
Bayesian nonparametrics,4,"2015-2017, 2019"
Cultural differences,4,"2010, 2012, 2014, 2019"
convolution,4,"2011-2012, 2021-2022"
Biology,4,"2013, 2015, 2018-2019"
recurrent neural network,4,"2017, 2019-2020, 2022"
Radiometric calibration,4,"2012-2014, 2020"
Bioinformatics,4,"2010, 2015, 2018, 2022"
recognition,4,"2010, 2012-2013, 2015"
Optics,4,"2011, 2020-2022"
Gaussian process,4,"2014-2016, 2021"
Machine vision,4,"2010-2011, 2019, 2022"
Space exploration,4,"2013, 2015, 2017, 2021"
Physics,4,"2010, 2012, 2014, 2021"
RPCA,4,"2015, 2018-2019, 2022"
Sorting,4,"2010, 2012, 2018, 2022"
Photonics,4,"2012, 2014, 2020-2021"
Generative adversarial networks,4,2019-2022
Surgery,4,"2012-2013, 2015, 2022"
hidden Markov models,4,"2011-2012, 2014, 2016"
Belief propagation,4,"2010-2011, 2013, 2018"
Machine intelligence,4,"2010-2011, 2016, 2020"
range data,4,"2012-2013, 2015-2016"
image generation,4,"2012, 2017, 2021-2022"
Activity recognition,4,"2013-2014, 2020, 2022"
nonparametric estimation,4,"2011, 2014, 2016, 2019"
video summarization,4,"2015-2016, 2021-2022"
illuminant estimation,4,"2011-2012, 2018, 2020"
image compression,4,"2015, 2020-2022"
Linear approximation,4,"2010-2012, 2017"
Animation,4,"2010, 2014, 2021-2022"
Hilbert space,4,"2012, 2015, 2020-2021"
Atmospheric modeling,4,"2011, 2015, 2020-2021"
History,4,"2010, 2015, 2019, 2022"
Signal to noise ratio,4,"2010-2011, 2014, 2020"
Silicon,4,"2011, 2013-2014, 2018"
Annealing,4,"2010, 2014, 2017, 2021"
Simulated annealing,4,"2010, 2014, 2016, 2021"
Image captioning,4,"2017-2019, 2022"
Human parsing,4,"2016-2017, 2019, 2022"
Art,4,"2010, 2012, 2016, 2022"
Humans,4,2010-2013
Taylor series,4,"2012, 2017, 2020, 2022"
point clouds,4,"2016, 2020-2022"
graphical model,4,"2010, 2015, 2017, 2021"
Singular value decomposition,4,"2010, 2013, 2019, 2021"
Text analysis,4,"2010-2011, 2013, 2022"
neuroimaging,4,"2013, 2017, 2019, 2021"
Pedestrian detection,4,"2012, 2014, 2016, 2018"
Target recognition,4,"2010, 2015-2017"
image enhancement,4,"2010, 2014, 2021-2022"
Hardware,4,"2010, 2019-2021"
Harmonic analysis,4,"2012-2013, 2017, 2019"
Tagging,4,"2011, 2013, 2019, 2021"
Image generation,4,"2010, 2019-2021"
head pose estimation,4,"2013, 2016, 2019, 2021"
Pain,4,"2010, 2016, 2018, 2021"
Hashing,4,"2012, 2014-2015, 2019"
Age estimation,4,"2013, 2018, 2020-2021"
Australia,4,"2010-2011, 2018, 2021"
nonparametric,4,"2012, 2015, 2017, 2021"
Heating systems,4,2019-2022
Three dimensional displays,4,2011-2014
autonomous driving,4,"2014, 2018, 2021-2022"
Image decomposition,4,"2012-2013, 2019, 2022"
image deblurring,4,"2012-2013, 2016, 2021"
hypothesis testing,4,"2010, 2018, 2020, 2022"
Authentication,4,"2010, 2012-2013, 2022"
recurrent neural networks,4,"2018, 2020-2022"
ranking,4,"2012, 2014, 2017, 2019"
topic models,4,"2012-2014, 2019"
density estimation,4,"2012-2013, 2015, 2021"
Ink,4,"2010, 2012-2013, 2017"
matching,4,"2010-2012, 2016"
Materials,4,"2011, 2013-2015"
tensor completion,4,"2015, 2017-2019"
deformable model,4,"2011, 2016, 2018, 2022"
compressive sensing,4,"2011, 2014, 2017, 2019"
Information retrieval,4,"2010-2012, 2015"
computational complexity,4,"2014-2015, 2019, 2023"
matrix completion,4,"2013, 2015, 2018-2019"
Bundle adjustment,4,2019-2022
Bridges,4,"2017-2018, 2021-2022"
Fitting,4,"2010, 2012, 2018-2019"
scalability,4,"2017-2018, 2021-2022"
Laboratories,4,"2010-2011, 2016, 2022"
saliency map,4,"2010-2011, 2015, 2017"
Statistical learning,4,"2010-2011, 2015, 2019"
Force,4,"2011, 2013, 2015, 2018"
LDA,4,"2013-2014, 2018, 2020"
benchmark dataset,4,"2015, 2018, 2021-2022"
Stereo image processing,4,"2010, 2012-2013, 2015"
robust principal component analysis,4,"2012, 2016, 2018, 2021"
retrieval,4,"2014, 2019-2020, 2022"
object proposals,4,2015-2018
orientation field,4,2011-2014
belief propagation,4,"2011, 2013-2014, 2018"
Mathematical morphology,4,"2011-2012, 2015-2016"
big data,4,"2014-2015, 2019-2020"
outlier,4,"2013, 2016, 2019"
LSTM,4,"2017-2018, 2021-2022"
texture,4,"2010-2012, 2016"
Matrix converters,4,"2016-2018, 2021"
robust statistics,4,"2011, 2014, 2016, 2019"
Brain,4,"2010, 2013, 2018, 2022"
sampling,4,"2012, 2016, 2019, 2022"
Medical diagnostic imaging,4,"2010, 2013, 2021-2022"
3D shape retrieval,4,"2012, 2017, 2019, 2021"
learning,4,"2010-2012, 2015"
parameter estimation,4,"2010, 2012, 2015-2016"
blind deconvolution,4,"2012, 2016, 2019, 2021"
human pose estimation,4,"2012, 2017, 2020-2021"
light field,4,"2017, 2019-2021"
image understanding,4,"2011, 2015, 2017, 2019"
Pragmatics,4,"2012, 2015, 2017-2018"
scale space,4,"2011, 2013-2015"
inference,4,2010-2013
Frequency modulation,4,"2016-2017, 2019, 2021"
Rain,4,"2016, 2020-2022"
Unsupervised domain adaptation,4,"2017, 2019, 2021-2022"
timeofflight camera,4,"2015, 2017-2019"
Iris,4,"2010, 2013-2015"
Bones,4,"2010, 2012, 2016, 2019"
Stability criteria,4,"2010-2012, 2017"
Optical flow,4,"2012-2013, 2019-2020"
Slabs,3,"2011, 2013-2014"
nonlinear,3,"2011, 2019, 2021"
endtoend optimization,3,2020-2022
ellipsoidspecific fitting,3,"2012, 2016, 2018"
Customer relationship management,3,"2010, 2015, 2018"
human pose,3,"2014, 2019, 2021"
illumination invariance,3,"2011, 2013, 2016"
morphing,3,"2011, 2014, 2018"
Voltage control,3,"2013, 2020, 2022"
Image Processing and Computer Vision,3,"2010, 2013-2014"
Sports,3,2020-2022
action detection,3,"2011, 2014, 2020"
motion detection,3,"2011-2012, 2020"
Current measurement,3,"2016, 2019-2020"
Junctions,3,2011-2013
illumination,3,"2011, 2013, 2016"
Least squares methods,3,2010-2012
Damping,3,"2015, 2017-2018"
motion blur,3,"2011, 2017, 2022"
State estimation,3,"2010-2011, 2016"
open world recognition,3,"2018, 2020-2021"
identification,3,"2010-2011, 2013"
Multimodal analysis,3,2016-2018
motion analysis,3,"2011, 2014, 2020"
Least squares approximation,3,2011-2013
spatiotemporal,3,"2011-2012, 2017"
Dictionary learning,3,"2014, 2016, 2018"
illumination estimation,3,"2016, 2019, 2022"
singular value decomposition,3,"2010, 2013, 2021"
Image deblurring,3,"2017, 2019, 2021"
isotonic regression,3,"2011, 2016, 2019"
Data association,3,"2011, 2015-2016"
Stability,3,2010-2012
hypothesis generation,3,"2012, 2014, 2016"
perceptual grouping,3,"2010-2011, 2014"
Image fusion,3,"2012, 2021-2022"
Source separation,3,"2010, 2012, 2021"
Rotation measurement,3,"2010, 2020-2021"
normalized cuts,3,"2011, 2016-2017"
Data structures,3,"2010, 2018-2019"
Multitarget tracking,3,"2011, 2013, 2016"
spacetime,3,"2011-2012, 2014"
Ice,3,"2010, 2016, 2018"
Surface waves,3,"2010, 2013, 2016"
Surface roughness,3,"2010-2011, 2021"
Spatial coherence,3,"2010-2011, 2022"
Web pages,3,"2010-2011, 2015"
Web search,3,"2010-2011, 2023"
Sumproduct networks,3,"2016-2017, 2022"
Image saliency,3,"2012, 2015, 2020"
dynamical systems,3,"2012-2013, 2022"
Weight measurement,3,"2010, 2015, 2022"
LaplaceBeltrami operator,3,"2011, 2014-2015"
hierarchical image representation,3,"2013, 2015, 2018"
hypergraph,3,"2010-2011, 2022"
Sparse coding,3,"2014-2015, 2021"
model compression,3,"2019, 2021-2022"
Independent component analysis,3,"2010, 2017, 2021"
Decision support systems,3,"2011-2012, 2017"
sparse learning,3,"2013, 2017-2018"
Sparsity,3,"2013, 2017, 2020"
Spatial databases,3,"2010-2011, 2014"
Information analysis,3,"2010, 2012-2013"
optimal transport,3,"2017, 2020, 2022"
Largescale systems,3,"2010-2011, 2021"
object matching,3,"2011, 2013-2014"
Table lookup,3,"2011, 2018, 2020"
heat diffusion,3,"2017, 2021-2022"
Laser radar,3,"2018, 2020-2021"
Sparse learning,3,"2013, 2017, 2021"
Systematics,3,"2013, 2020, 2022"
Multiple instance learning,3,"2011, 2016-2017"
Multiple kernel clustering,3,2019-2021
Delays,3,"2014, 2019, 2021"
Wavelength measurement,3,"2013, 2016, 2021"
Input variables,3,"2010, 2013, 2017"
nonparametric regression,3,"2012, 2016, 2021"
Structurefrommotion,3,"2010, 2012, 2020"
Strips,3,"2014-2015, 2020"
Information theory,3,"2010-2011, 2018"
invariant,3,"2010, 2013, 2018"
Information science,3,"2010, 2016, 2021"
nuclear norm,3,"2014-2015, 2019"
Deep neural network,3,"2016, 2020-2021"
dynamic time warping,3,"2012-2013, 2016"
Rough surfaces,3,"2010-2011, 2021"
Software,3,"2010, 2012, 2019"
pattern analysis,3,"2010-2011, 2018"
Large scale integration,3,"2012-2013, 2022"
Libraries,3,"2010, 2012, 2022"
scene flow,3,"2012, 2014, 2021"
IEEE transactions,3,2014-2016
Forestry,3,2019-2021
image synthesis,3,"2015, 2019, 2021"
GAN,3,"2019, 2021-2022"
multiinstance learning,3,"2013, 2016, 2021"
Function approximation,3,"2013, 2018, 2020"
Sensor phenomena and characterization,3,"2010, 2013, 2016"
Frequency domain analysis,3,2011-2013
forensic sketch,3,"2011, 2013, 2017"
instance segmentation,3,"2019, 2021-2022"
Video surveillance,3,"2013-2014, 2021"
Markov Random Field,3,"2015, 2018"
multispectral,3,"2011, 2017, 2020"
Markov chain Monte Carlo,3,"2014, 2018, 2021"
imagevideo retrieval,3,"2010, 2013, 2018"
Matched filters,3,"2010, 2013, 2020"
fully convolutional networks,3,"2016, 2020, 2022"
Sequential analysis,3,"2010, 2012, 2018"
shadow detection,3,"2011, 2015-2016"
Erbium,3,2014-2016
shading,3,"2011, 2013, 2022"
Thumb,3,"2012, 2015, 2020"
Vision and scene understanding,3,"2014, 2017, 2022"
Vision and Scene Understanding,3,"2010, 2013-2014"
Mobile handsets,3,"2012, 2019, 2021"
gated recurrent unit,3,"2018-2019, 2022"
multiview stereo,3,"2012-2013, 2016"
Servers,3,"2018, 2021-2022"
multidimensional scaling,3,"2012-2013, 2016"
Gaussian noise,3,"2010, 2012, 2021"
Gaussian mixture models,3,"2011, 2013, 2022"
gait recognition,3,"2012-2013, 2015"
multivariate statistics,3,"2012, 2014, 2017"
Scene Analysis,3,"2010, 2013-2014"
Matching pursuit algorithms,3,"2010, 2017, 2020"
inpainting,3,"2010, 2012, 2015"
face detection,3,"2010-2011, 2014"
Vector quantization,3,"2014, 2019-2020"
salient object detection,3,2020-2022
feature correspondence,3,"2013-2014, 2016"
feature,3,"2012, 2019, 2021"
Medical diagnosis,3,"2010-2011, 2020"
facial expressions,3,"2013, 2015-2016"
Medical services,3,"2019, 2021-2022"
multimodal learning,3,"2016, 2021-2022"
Video object segmentation,3,"2019-2020, 2022"
factor graph,3,"2010-2011, 2013"
scene text recognition,3,"2017, 2021-2022"
scene analysis,3,"2010, 2012, 2015"
scene recognition,3,"2011, 2014, 2016"
factor analysis,3,"2013, 2015, 2020"
scene classification,3,"2012, 2015, 2020"
Feature evaluation and selection,3,"2010, 2013-2014"
safe,3,"2015, 2019, 2021"
rotation invariance,3,"2010, 2012, 2014"
Microsoft Windows,3,2019-2021
Video analysis,3,"2010, 2014, 2021"
incremental learning,3,"2012-2013, 2017"
Transfer learning,3,2017-2019
incomplete kernel learning,3,2019-2021
Matrix factorization,3,"2013, 2018, 2022"
multiple view learning,3,2019-2021
selfsupervised learning,3,"2019-2020, 2022"
multipleinstance learning,3,"2012, 2017, 2022"
Video compression,3,"2010-2011, 2021"
Fingerprint,3,"2011, 2014-2015"
fixation prediction,3,"2015, 2017, 2020"
Face aging,3,"2010, 2012, 2019"
Material properties,3,"2010, 2017, 2020"
Generative adversarial network,3,"2019, 2021-2022"
gaze estimation,3,"2010, 2014, 2021"
image alignment,3,"2014, 2019, 2022"
Load modeling,3,"2010, 2013, 2019"
High definition video,3,"2010, 2015, 2019"
Document image processing,3,"2010, 2013, 2020"
Linear regression,3,"2010, 2016, 2018"
graph algorithms,3,"2010, 2012, 2015"
graph Laplacian,3,"2011, 2013, 2021"
neural nets,3,"2013, 2015, 2020"
Loading,3,"2013, 2018, 2020"
graph connectivity,3,"2010, 2014, 2020"
Local features,3,"2012, 2014, 2020"
Dynamic textures,3,"2011, 2013, 2015"
global optimality,3,"2018-2019, 2022"
probabilistic model,3,"2010, 2021-2022"
Motion compensation,3,"2017, 2020-2021"
EEG,3,"2011, 2013, 2021"
graph clustering,3,2019-2021
Distributed databases,3,"2015-2016, 2021"
shadow removal,3,"2013, 2018, 2020"
Discrete optimization,3,"2011, 2017, 2020"
similarity search,3,"2019-2020, 2022"
Dirichlet process,3,"2010, 2015-2016"
point cloud,3,"2013, 2021-2022"
Multiclass classification,3,"2014, 2016, 2018"
Dirichlet processes,3,"2010, 2014, 2020"
graphcut,3,"2011, 2014, 2021"
ensemble learning,3,"2013-2014, 2016"
Highdimensional data,3,"2011, 2013, 2021"
Similarity search,3,"2012, 2014, 2018"
Human action recognition,3,"2011-2012, 2021"
pooling,3,"2015, 2017, 2021"
Hough transform,3,"2011, 2014-2015"
image clustering,3,"2010-2011, 2017"
Higher order statistics,3,"2011, 2014, 2022"
Hash functions,3,"2019-2020, 2022"
probabilistic models,3,"2013, 2019, 2022"
Motion analysis,3,"2010-2011, 2013"
Modulation,3,"2018-2019, 2022"
Electron tubes,3,"2017, 2021-2022"
image reconstruction,3,"2014, 2021-2022"
Monocular depth estimation,3,"2019-2020, 2022"
Shape matching,3,"2010, 2013, 2015"
Shape from shading,3,"2015-2016, 2018"
Visual odometry,3,"2018, 2022"
generalization,3,"2011, 2017, 2022"
Earth,3,"2010-2011, 2013"
MRI,3,"2015, 2017, 2022"
Genetic algorithms,3,"2015, 2018, 2021"
multiclass classification,3,"2010, 2012, 2022"
Visual attention,3,"2013, 2020-2021"
gender classification,3,"2011, 2016, 2018"
Generative models,3,"2010, 2019, 2021"
Monte Carlo,3,"2010-2011, 2019"
MCMC,3,"2013, 2015-2016"
Graph,3,"2016-2017, 2019"
shape retrieval,3,"2010, 2015, 2021"
generative models,3,"2010, 2017, 2022"
MAP,3,"2011, 2015, 2018"
Graph mining,3,"2010, 2014, 2016"
Graph theory,3,"2012, 2016, 2021"
nearest neighbour search,3,"2015, 2018, 2020"
Grassmann manifold,3,"2012, 2014, 2016"
